last_name_first_name,player_id,year,p_formatted_ip,pa,strikeout,k_percent,bb_percent,p_era,barrel_batted_rate,hard_hit_percent,whiff_percent,swing_percent
"González, Chi Chi",592346,2021,101.2,448,56,12.5,6.3,6.46,9,45,16.4,48.5
"Bassitt, Chris",605135,2025,170.1,736,166,22.6,7.1,3.96,8.5,36.6,23.3,46.8
"Eflin, Zach",621107,2023,177.2,703,186,26.5,3.4,3.5,9,35.1,24.1,49.9
"Montas, Frankie",593423,2024,150.2,655,148,22.6,10.1,4.84,9.3,43.1,24.9,48.7
"Civale, Aaron",650644,2025,102,435,88,20.2,7.6,4.85,9.8,39.1,21.8,45.4
"Kopech, Michael",656629,2023,129.1,591,134,22.7,15.4,5.43,12.7,42.4,26.9,42.1
"Lynn, Lance",458681,2023,183.2,808,191,23.6,8.3,5.73,10.4,39.3,28.8,50.1
"Bielak, Brandon",656232,2023,80,353,62,17.6,10.2,3.83,10.4,48.4,23.7,45
"Velasquez, Vince",592826,2022,75.1,319,69,21.6,7.8,4.78,13,44.4,25.2,48.5
"Greinke, Zack",425844,2022,137,585,73,12.5,4.6,3.68,6.8,39.6,17.4,46.2
"Pallante, Andre",669467,2022,108,457,73,16,8.8,3.17,3.2,42,17.8,45
"Pérez, Martín",527048,2023,141.2,608,93,15.3,8.1,4.45,7.6,37.2,17.5,45.3
"Hendricks, Kyle",543294,2021,181,785,131,16.7,5.6,4.77,8.4,33,20.1,48.6
"Stone, Gavin",694813,2024,140.1,580,116,20,6.4,3.53,6.4,36.2,24.7,50.4
"Lauer, Eric",641778,2022,158.2,661,157,23.8,8.9,3.69,8,38,24.2,46.6
"Flaherty, Jack",656427,2021,78.1,322,85,26.4,8.1,3.22,9.3,41.5,28.1,44.8
"Wacha, Michael",608379,2025,172.2,716,126,17.6,6.3,3.86,7.4,34.6,21.3,50.4
"Greinke, Zack",425844,2023,142.1,593,97,16.4,3.9,5.06,7.7,38.8,17.3,46.8
"Cole, Gerrit",543037,2021,181.1,726,243,33.5,5.6,3.23,9.8,38.6,31.9,48.9
"Littell, Zack",641793,2024,156.1,656,141,21.5,4.7,3.63,9.6,39.2,23.1,51.9
"Ober, Bailey",641927,2023,144.1,577,146,25.3,5,3.43,9.6,35.7,28.7,53.1
"Giolito, Lucas",608337,2019,176.2,705,228,32.3,8.1,3.41,10.6,34.6,32.4,49.6
"Darvish, Yu",506433,2022,194.2,771,197,25.6,4.8,3.1,8.8,37.1,25.1,49.7
"Petit, Yusmeiro",433589,2019,83,308,71,23.1,3.2,2.71,8.3,34.8,25.3,49.6
"Rodriguez, Eduardo",593958,2022,91,391,72,18.4,8.7,4.05,7.1,36,18.1,47
"Wilson, Bryse",669060,2022,115.2,509,79,15.5,6.3,5.52,7.8,43.8,18,47.8
"Clevinger, Mike",605182,2022,114.1,485,91,18.8,7.2,4.33,9.5,39.1,24.3,48.2
"Keller, Brad",641745,2022,139.2,617,102,16.5,9.2,5.09,6.6,41.4,21.6,48.8
"McGreevy, Michael",700241,2025,95.2,400,58,14.5,5,4.42,8.8,40.1,19.2,45.9
"Smyly, Drew",592767,2022,106.1,447,91,20.4,5.8,3.47,8.9,35.6,26,52
"Fried, Max",608331,2024,174.1,714,166,23.2,8,3.25,5,34.6,24.1,45.9
"Hicks, Jordan",663855,2024,109.2,481,96,20,9.8,4.1,9.5,42.2,24.6,44.3
"Quantrill, Cal",615698,2024,148.1,656,110,16.8,10.5,4.98,7.4,41.2,21.6,45.7
"Kirby, George",669923,2025,126,524,137,26.1,5.5,4.21,8.6,43.9,26.7,49
"Stammen, Craig",489334,2021,88.1,355,83,23.4,3.7,3.06,5.9,35.9,24.3,46.9
"Sandoval, Patrick",663776,2023,144.2,652,128,19.6,11.3,4.11,7,35.1,27.7,46.6
"Arrieta, Jake",453562,2021,98.2,469,83,17.7,9.4,7.39,9.2,44.3,18.3,43.5
"Allard, Kolby",663465,2021,124.2,534,104,19.5,5.8,5.41,10.7,39,19.8,48.4
"Cabrera, Edward",665795,2025,137.2,581,150,25.8,8.3,3.53,8.6,46.4,29.4,45.1
"Megill, Tylor",656731,2023,126.1,567,105,18.5,10.2,4.7,9.1,42.6,23.4,44.9
"Beck, Tristan",663941,2023,85,354,68,19.2,5.9,3.92,7.6,35.7,23.6,49.2
"Gomber, Austin",596295,2022,124.2,529,95,18,6.4,5.56,8.6,35.9,22.1,49
"Fried, Max",608331,2023,77.2,311,80,25.7,5.8,2.55,3.8,32.7,27.2,46.5
"Holmes, Grant",656550,2025,115,492,123,25,11,3.99,10.1,41.9,29.7,48.3
"Márquez, Germán",608566,2019,174,721,175,24.3,4.9,4.76,8.5,43.1,26.6,49.5
