last_name_first_name,player_id,year,p_formatted_ip,pa,strikeout,k_percent,bb_percent,p_era,barrel_batted_rate,hard_hit_percent,whiff_percent,swing_percent
"Anderson, Tyler",542881,2024,179.1,765,142,18.6,9.5,3.81,7.9,33,27.8,49.3
"Lynn, Lance",458681,2020,84,344,89,25.9,7.3,3.32,5.4,37.5,25.4,49.5
"Dunning, Dane",641540,2024,95,421,91,21.6,9.5,5.31,10.9,45.8,23.7,45.5
"Sabathia, CC",282332,2019,107.1,468,107,22.9,8.3,4.95,8.8,30.5,25.1,47.5
"Verlander, Justin",434378,2023,162.1,669,144,21.5,6.7,3.22,8.2,41.3,22.5,49.6
"Sampson, Adrian",592716,2022,104.1,428,73,17.1,6.3,3.11,6.8,35.9,21.3,48.2
"Miller, Bryce",682243,2025,90.1,392,74,18.9,8.7,5.68,9.4,48.6,24.2,50.9
"Freeland, Kyle",607536,2024,113.1,490,85,17.3,5.3,5.24,10.6,40.7,17.1,50
"Castillo, Luis",622491,2021,187.2,803,192,23.9,9.3,3.98,4.6,36.9,28.9,49.3
"Suárez, Albert",544150,2024,133.2,565,108,19.1,7.6,3.7,7.1,38.4,24.6,50.4
"Gilbert, Logan",669302,2023,190.2,770,189,24.5,4.7,3.73,9,44.6,26.4,52.2
"Rogers, Trevor",669432,2025,109.2,423,103,24.3,6.9,1.81,7.6,48.4,25.6,52.9
"Plesac, Zach",668676,2022,131.2,568,100,17.6,6.7,4.31,9.7,41.5,22,51.5
"Alexander, Tyler",641302,2022,101,427,61,14.3,5.9,4.81,11.2,37.9,17.1,50.7
"Rodriguez, Grayson",680570,2024,116.2,491,130,26.5,7.3,3.86,7.8,39.7,30,50.2
"Hudson, Dakota",641712,2024,89,404,49,12.1,12.4,6.17,6.4,42,18.6,42.1
"Mlodzinski, Carmen",669387,2025,99,419,89,21.2,6.4,3.55,6.1,40.1,23,46.6
"Luzardo, Jesús",666200,2022,100.1,400,120,30,8.8,3.32,6.6,39.1,31.7,45.9
"Woods Richardson, Simeon",680573,2024,133.2,569,117,20.6,8.4,4.17,8.2,36.2,22.3,49.8
"Baz, Shane",669358,2024,79.1,319,69,21.6,8.5,3.06,7.3,42,24.6,50.2
"Wells, Tyler",669330,2023,118.2,470,117,24.9,7.2,3.64,11.7,38.7,26.4,47.2
"Eflin, Zach",621107,2022,75.2,313,65,20.8,4.8,4.04,6.2,31.1,22.1,47.7
"Cobb, Alex",502171,2022,149.2,631,151,23.9,6.8,3.73,3.7,41.1,24.9,45
"Wheeler, Zack",554430,2019,195.1,828,195,23.6,6,3.96,5.8,32.4,23,50.9
"Pérez, Martín",527048,2024,135,590,107,18.1,8.3,4.53,8.6,41.5,21,46
"Minor, Mike",501985,2019,208.1,863,200,23.2,7.9,3.59,7.6,30.4,26.2,47.8
"Greinke, Zack",425844,2021,171,697,120,17.2,5.2,4.16,6.5,35.4,21.8,46
"Fedde, Erick",607200,2019,78,334,41,12.3,9.9,4.5,8.1,39.9,17.2,43.3
"Soriano, José",667755,2024,113,468,97,20.7,9.6,3.42,6.7,44.3,23.7,46
"Alcantara, Sandy",645261,2025,174.2,745,142,19.1,7.7,5.36,8.6,45,20.9,49.5
"Plesac, Zach",668676,2021,142.2,598,100,16.7,5.7,4.67,9.4,43.4,23.1,51
"Yarbrough, Ryan",642232,2024,98.2,398,65,16.3,8,3.19,6.3,29.4,21.1,47.4
"Hudson, Dakota",641712,2023,81.1,354,45,12.7,9.6,4.98,8.9,45.4,20.2,47.1
"López, Pablo",641154,2025,75.2,312,73,23.4,6.4,2.74,6,35.3,25.9,48.5
"Porcello, Rick",519144,2019,174.1,768,143,18.6,5.9,5.52,10.4,37.7,18,49.4
"Bieber, Shane",669456,2019,214.1,859,259,30.2,4.7,3.28,9.5,43.3,30.7,47.8
"Montgomery, Jordan",656756,2024,117,532,83,15.6,8.3,6.23,6,41,26.9,49.6
"Thompson, Keegan",624522,2022,115,485,108,22.3,8.9,3.76,8.7,39.1,24.5,46.2
"Cease, Dylan",656302,2021,165.2,708,226,31.9,9.6,3.91,9.9,38.8,34.6,46.8
"Quantrill, Cal",615698,2021,149.2,616,121,19.6,7.6,2.89,7,34.5,22.1,47
"Kelly, Merrill",518876,2021,158,667,130,19.5,6.1,4.44,6.3,39.6,20.6,49.2
"Walker, Taijuan",592836,2024,83.2,381,58,15.2,9.7,7.1,13.5,46.3,16.7,44.1
"Cecconi, Slade",677944,2025,132,545,109,20,5.9,4.3,12.2,49.1,22.5,46.5
"Skubal, Tarik",669373,2021,149.1,634,164,25.9,7.4,4.34,13.9,45.1,26.7,48.9
"Paddack, Chris",663978,2021,108.1,459,99,21.6,4.8,5.07,8.6,42.7,24.6,49.5
"Francis, Bowden",670102,2024,103.2,408,92,22.5,5.4,3.3,8.7,36.2,21.2,51.7
"Buehler, Walker",621111,2021,207.2,815,212,26,6.4,2.47,6.8,37.1,26.5,49.2
"Cease, Dylan",656302,2025,168,722,215,29.8,9.8,4.55,8.6,37.5,33.4,49.2
"Bumgarner, Madison",518516,2022,158.2,698,112,16,7,4.88,9.8,43.2,18.2,48.4
"Montgomery, Mike",543557,2019,91,402,69,17.2,8.5,4.95,9,44.7,21.9,45.2
"Happ, J.A.",457918,2021,152.1,671,122,18.2,7.2,5.79,11.7,41.8,19.6,47.9
"Suarez, Ranger",624133,2025,157.1,651,151,23.2,5.8,3.2,5.5,31.1,22.2,47.9
"Winckowski, Josh",670174,2024,76,336,60,17.9,7.7,4.14,6.1,43.1,20.9,47.8
"Lugo, Seth",607625,2023,146.1,604,140,23.2,6,3.57,9.7,44.2,21.9,46.3
"Milone, Tommy",543548,2019,111.2,453,94,20.8,5.1,4.76,10.9,31.3,22.8,47.1
"Quintana, Jose",500779,2024,170.1,717,135,18.8,8.8,3.75,6.7,38.2,22.2,43.1
"Roupp, Landen",694738,2025,106.2,476,102,21.4,9.5,3.8,8.9,36.5,25.2,43.8
"Márquez, Germán",608566,2022,181.2,779,150,19.3,8.1,4.95,7.1,47.2,23.2,49.7
"Severino, Luis",622663,2024,182,761,161,21.2,7.9,3.91,5.7,35.6,22,50.6
"Senga, Kodai",673540,2025,113.1,482,109,22.6,11.4,3.02,8,40.6,27.4,45.5
"Gausman, Kevin",592332,2023,185,763,237,31.1,7.2,3.16,9.9,43.3,28.9,49.3
"Martinez, Nick",607259,2022,106.1,448,95,21.2,9.2,3.47,8.1,37,25.6,47.6
"Anderson, Brett",474463,2021,96,409,58,14.2,6.8,4.22,9.3,47,16.7,41.6
"Smith, Caleb",592761,2021,113.2,500,124,24.8,12.6,4.83,8.5,29.1,27.5,46.2
"Wentz, Joey",666214,2025,98,442,92,20.8,9.7,5.6,9.5,42.8,23.5,49.2
"Alcantara, Sandy",645261,2021,205.2,837,201,24,6,3.19,6.1,39.4,27.5,53.3
"Irvin, Cole",608344,2024,111,492,78,15.9,5.9,5.11,12.7,40.9,17,48.3
"Kluber, Corey",446372,2021,80,341,82,24,9.7,3.83,6.8,34.4,28.1,47.1
"Brown, Hunter",686613,2023,155.2,665,178,26.8,8.3,5.09,10.9,44.4,24.8,46.4
"Scherzer, Max",453286,2021,179.1,693,236,34.1,5.2,2.46,8,34.3,34.2,50.6
"Burnes, Corbin",669203,2022,202,797,243,30.5,6.4,2.94,5.7,34.1,35.2,46.2
"Lorenzen, Michael",547179,2024,130.1,535,97,18.1,11,3.31,8.1,39.4,22.8,44.7
"Snell, Blake",605483,2021,128.2,550,170,30.9,12.5,4.2,11,41.2,31.8,44.4
"Odorizzi, Jake",543606,2021,104.2,441,91,20.6,7.7,4.21,9.3,39.3,21.9,48.9
"Gausman, Kevin",592332,2021,192,775,227,29.3,6.5,2.81,7.1,40.9,31.4,52.4
"Nola, Aaron",605400,2019,202.1,852,229,26.9,9.4,3.87,7.3,39.5,26.7,44.6
"Snell, Blake",605483,2024,104,418,145,34.7,10.5,3.12,5.7,28.9,37.7,46
"Williams, Trevor",592866,2021,91,405,90,22.2,7.7,4.35,7.1,37.9,24.1,48.9
"Miley, Wade",489119,2023,120.1,490,79,16.1,7.8,3.14,7.6,31.3,19.1,45.1
"Clarke, Taylor",664199,2019,84.2,369,68,18.4,8.1,5.31,13.6,39.8,23.2,48.4
"Lorenzen, Michael",547179,2019,83.1,343,85,24.8,8.2,2.92,3.4,29.7,31.1,48.8
"Rogers, Trevor",669432,2021,133,550,157,28.5,8.4,2.64,5,36.7,31,49.4
"Sheffield, Justus",656954,2021,80.1,385,63,16.4,11.2,6.83,11.7,47.1,19.8,44.3
"Gilbert, Logan",669302,2022,185.2,766,174,22.7,6.4,3.2,7.1,45.6,24.2,50.3
"Singer, Brady",663903,2021,128.1,586,131,22.4,9,4.91,5.6,37.6,25.3,43.7
"Matz, Steven",571927,2021,150.2,647,144,22.3,6.6,3.82,7,37.9,22.3,46.9
"Wacha, Michael",608379,2023,134.1,553,124,22.4,7.8,3.22,7.3,35.5,24.6,47.9
"Kirby, George",669923,2022,130,542,133,24.5,4.1,3.39,8.9,38.7,21.2,52.6
"Turnbull, Spencer",605513,2019,148.1,656,146,22.3,9,4.61,7.1,40.7,24.7,46.9
"Irvin, Jake",663623,2024,187.2,769,156,20.3,6.8,4.41,9.2,39.1,22.3,48.5
"Heaney, Andrew",571760,2025,122.1,536,86,16,7.5,5.52,10.3,43.6,19.9,47.5
"Schwellenbach, Spencer",680885,2025,110.2,434,108,24.9,4.1,3.09,7.5,41.5,28.3,51.8
"Quantrill, Cal",615698,2019,103,443,89,20.1,6.3,5.16,7.7,32.5,22.4,48.8
"Minor, Mike",501985,2022,98,455,76,16.7,8.8,6.06,8.4,34.9,20.1,46.1
"Brown, Hunter",686613,2025,185.1,729,206,28.3,7.8,2.43,5.9,32.2,27.8,44.8
"Cole, Gerrit",543037,2019,212.1,817,326,39.9,5.9,2.5,6.5,35.5,37.2,49.9
"Ureña, José",570632,2024,109,463,70,15.1,8.4,3.8,7.7,39.7,23.1,47
"Olson, Reese",681857,2024,112.1,465,101,21.7,7.1,3.53,5.5,43.7,28.7,47.3
"Davies, Zach",605200,2022,134.1,570,102,17.9,9.1,4.09,8,34.5,21.5,42.2
"Muñoz, Roddery",682610,2024,82.2,379,70,18.5,11.1,6.53,13.7,45,23.6,45.7
"King, Michael",650633,2024,173.2,726,201,27.7,8.7,2.95,6.2,30.3,29.3,45.4
"Pallante, Andre",669467,2024,121.1,509,94,18.5,9.4,3.78,3.4,38.1,19.8,46.4
"Gray, Jon",592351,2022,127.1,521,134,25.7,7.5,3.96,6.2,38,25.9,48.9
"Flaherty, Jack",656427,2019,196.1,772,231,29.9,7.1,2.75,7.7,30.3,30.7,48
"Williams, Gavin",668909,2023,82,345,81,23.5,10.7,3.29,5.4,38.6,27.8,47.5
"Abbott, Andrew",671096,2025,166.1,684,149,21.8,6.3,2.87,8,33.7,24,50
"Pomeranz, Drew",519141,2019,104,455,137,30.1,9.7,4.85,9.9,35.8,26.8,45.8
"Soroka, Michael",647336,2024,79.2,347,84,24.2,12.7,4.74,9.7,35.2,24.8,43.3
"Harvey, Matt",518774,2021,127.2,582,95,16.3,6.4,6.27,7.9,40.9,19.1,48
"Rodriguez, Eduardo",593958,2025,154.1,694,143,20.6,8.6,5.02,8.2,35.2,23,47.1
"Fulmer, Carson",608334,2024,86.2,379,81,21.4,10.6,4.15,9.6,44.4,25.8,46.3
"Montero, Keider",672456,2025,90.2,389,72,18.5,8,4.37,8.2,39.4,19.8,47.7
"Cole, Gerrit",543037,2022,200.2,793,257,32.4,6.3,3.5,9.6,40.2,34.1,48.2
"Hill, Rich",448179,2023,146.1,660,129,19.5,8.8,5.41,10.1,39.9,19.3,45.4
"Kikuchi, Yusei",579328,2025,178.1,772,174,22.5,9.6,3.99,9.4,42.2,23.6,48.3
"Alexander, Tyler",641302,2025,97.2,423,82,19.4,7.1,4.98,5.9,39.6,21.5,48.8
"Gibson, Kyle",502043,2022,167.2,718,144,20.1,6.7,5.05,7.6,37.5,25.2,48.5
"Ray, Robbie",592662,2025,182.1,755,186,24.6,9.7,3.65,9.6,44.7,27.8,49.3
"Miller, Bryce",682243,2023,131.1,537,119,22.2,4.8,4.32,10.9,42.1,24.3,52.8
"Cortes, Nestor",641482,2024,174.1,710,162,22.8,5.5,3.77,7.9,43.6,24.2,50.4
"Nelson, Ryne",669194,2023,144,619,96,15.5,7.4,5.31,11.6,42.7,20.3,49.8
"Manaea, Sean",640455,2024,181.2,738,184,24.9,8.5,3.47,7.5,37.8,26.1,49
"Weathers, Ryan",677960,2024,86.2,367,80,21.8,6.5,3.63,8.3,38.2,26.1,46.4
"Blackburn, Paul",621112,2023,103.2,464,104,22.4,9.3,4.43,5.8,33.2,23.8,45.7
"Mikolas, Miles",571945,2024,171.2,720,122,16.9,3.5,5.35,8.1,42.3,16.4,49.8
"Gomber, Austin",596295,2023,139,603,87,14.4,7.1,5.5,9,44.3,19.1,47.5
"Mikolas, Miles",571945,2025,156.1,669,100,14.9,5.5,4.84,12.7,41.8,16.5,48
"Peralta, Freddy",642547,2022,78,317,86,27.1,8.5,3.58,3.5,31.3,29.9,44
"Gonzales, Marco",594835,2022,183,783,103,13.2,6.4,4.13,7.2,35,18.3,51
"Eflin, Zach",621107,2019,163.1,705,129,18.3,6.8,4.13,7.7,32.8,20.3,47.8
"Berríos, José",621244,2021,192,781,204,26.1,5.8,3.52,9.1,38.3,23.7,47
"Musgrove, Joe",605397,2023,97.1,399,97,24.3,5.3,3.05,5.1,33.5,26,49.4
"Ortiz, Luis",682847,2023,86.2,400,59,14.8,12,4.78,10,49.1,22.6,45.5
"Ray, Robbie",592662,2022,189,775,212,27.4,8,3.71,7.9,39.1,30,51.5
"Elder, Bryce",693821,2023,174.2,732,128,17.5,8.6,3.81,6,41,23.6,46.3
"Urías, Julio",628711,2019,79.2,326,85,26.1,8.3,2.49,4.6,24.9,29.9,51.3
"López, Jorge",605347,2019,123.2,548,109,19.9,7.7,6.33,12.4,40.6,21.6,44.8
"Flexen, Chris",623167,2022,137.2,590,95,16.1,8.6,3.73,9,40,21.8,48.8
"Cantillo, Joey",676282,2025,95.1,401,108,26.9,10.5,3.21,7.2,41.8,29.7,43.2
"Weaver, Luke",596133,2024,84,331,103,31.1,7.9,2.89,8.6,38.4,33.5,49.7
"Ober, Bailey",641927,2021,92.1,379,96,25.3,5,4.19,9.5,42.2,24.6,50.4
"Eovaldi, Nathan",543135,2021,182.1,764,195,25.5,4.6,3.75,6.3,36.4,25.9,51.6
"Bassitt, Chris",605135,2021,157.1,637,159,25,6.1,3.15,6.5,33.2,23.9,47.7
"Cabrera, Edward",665795,2023,99.2,434,118,27.2,15.2,4.24,7,35.4,30.9,43.1
"Walker, Taijuan",592836,2022,157.1,649,132,20.3,6.9,3.49,7.4,40.6,23.6,47.3
"Garcia, Luis",677651,2022,157.1,643,157,24.4,7.3,3.72,7.8,36.3,29.2,48.9
"Mahle, Tyler",641816,2022,120.2,503,126,25,8.5,4.4,7.5,38.3,26.8,45.3
"Gray, Josiah",680686,2023,159,698,143,20.5,11.5,3.91,9.5,36.7,26.2,46.4
"Sale, Chris",519242,2019,147.1,612,218,35.6,6,4.4,8.7,36.3,32,47.4
"Criswell, Cooper",681867,2024,99.1,424,73,17.2,7.3,4.08,7,37.4,17.2,44.6
"Houser, Adrian",605288,2022,102.2,454,69,15.2,10.1,4.73,5.7,41.5,17.1,43.1
"Walker, Taijuan",592836,2025,123.2,538,86,16,7.8,4.08,7.4,41.4,18.5,45.1
"Stripling, Ross",548389,2019,90.2,370,93,25.1,5.4,3.47,7.3,38.4,24.6,45.9
"Espino, Paolo",502179,2022,113.1,487,92,18.9,4.9,4.84,7.9,41.2,21.4,45
"Keller, Brad",641745,2021,133.2,613,120,19.6,10.4,5.39,10.9,45,22.4,44.8
"Bauer, Trevor",545333,2019,213,911,253,27.8,9,4.48,9.3,37.7,29.4,45.3
"Strasburg, Stephen",544931,2019,209,841,251,29.8,6.7,3.32,6.7,33.8,30.6,47.7
"Quintana, Jose",500779,2022,165.2,679,137,20.2,6.9,2.93,5.5,35.8,24,47.9
"Strider, Spencer",675911,2022,131.2,528,202,38.3,8.5,2.67,6.1,36,34.9,50
"Mikolas, Miles",571945,2019,184,764,144,18.8,4.2,4.16,6.8,36.6,21.7,49.3
"Bradish, Kyle",680694,2022,117.2,509,111,21.8,9,4.9,7.9,41,23.6,45.4
"Scholtens, Jesse",669947,2023,85,377,58,15.4,8,5.29,8,37.6,20.8,45.2
"Morton, Charlie",450203,2025,142,654,149,22.8,11,5.83,8.6,43.6,27.9,46.8
"Gore, MacKenzie",669022,2023,136.1,582,151,25.9,9.8,4.42,12.1,43.7,27.9,48.5
"Megill, Tylor",656731,2021,89.2,379,99,26.1,7.1,4.52,10,42,26.1,50
"Williams, Gavin",668909,2025,167.2,704,173,24.6,11.8,3.06,9,44.3,27.7,45.7
"Pfaadt, Brandon",694297,2024,181.2,760,185,24.3,5.5,4.71,8.2,39.4,25.4,49.3
"Waldichuk, Ken",686610,2023,141,639,132,20.7,11.1,5.36,7.7,38.5,25.1,47.5
"Gonzales, Marco",594835,2021,143.1,585,108,18.5,7.2,3.96,11.4,37,20.4,48
"Quintana, Jose",500779,2025,131.2,556,89,16,9,3.96,9.7,41.7,18.4,43.2
"Wheeler, Zack",554430,2022,153,607,163,26.9,5.6,2.82,7.7,34.5,25.1,50.5
"Valdez, Framber",664285,2023,198,808,200,24.8,7.1,3.45,8,45.6,26.8,47.2
"Cahill, Trevor",502239,2019,102.1,455,81,17.8,8.6,5.98,7.8,37.5,23.6,45.2
"Pineda, Michael",501381,2021,109.1,458,88,19.2,4.6,3.62,8.9,46.7,22.1,51.7
"Irvin, Cole",608344,2023,77.1,336,68,20.2,6.3,4.42,10.9,34.6,20.8,50.5
"Lauer, Eric",641778,2019,149.2,651,138,21.2,7.8,4.45,6.4,39.4,20.1,47.8
"Blach, Ty",621389,2023,78,352,50,14.2,6.8,5.54,11.1,43.4,15.3,49.2
"Márquez, Germán",608566,2025,126.1,591,83,14,8.1,6.7,11.1,48.5,18.6,48
"Pérez, Eury",691587,2025,95.1,385,105,27.3,8.3,4.25,9,46.5,28.4,50.3
"Canning, Griffin",656288,2025,76.1,327,70,21.4,10.4,3.77,9.5,45.7,25.5,45.8
"Paddack, Chris",663978,2024,88.1,384,79,20.6,5.5,4.99,9.9,43.1,24,49.4
"Akin, Keegan",669211,2024,78.2,313,97,31,6.1,3.32,7.7,37.4,30,47.2
"Gil, Luis",661563,2024,151.2,637,171,26.8,12.1,3.5,9.5,37.4,29,45.5
"Gilbert, Logan",669302,2024,208.2,803,220,27.4,4.6,3.23,7.2,39.3,31.7,50.4
"Parker, Mitchell",680730,2025,164.2,725,103,14.2,8,5.68,9.7,50,19.6,51.2
"Means, John",607644,2021,146.2,590,134,22.7,4.4,3.62,10.1,37.8,25.4,50.5
"Schmidt, Clarke",657376,2025,78.2,316,73,23.1,9.5,3.32,6.6,35.4,26.6,47.6
"Skubal, Tarik",669373,2023,80.1,310,102,32.9,4.5,2.8,4.2,40.3,31.3,53
"Snell, Blake",605483,2019,107,441,147,33.3,9.1,4.29,5.5,32,38.4,48.9
"Bello, Brayan",678394,2025,166.2,700,124,17.7,8.4,3.35,7.1,39.3,20.1,45.8
"Hearn, Taylor",621368,2021,104.1,441,92,20.9,9.5,4.66,7.9,38.3,23.1,46.5
"Lucchesi, Joey",664192,2019,163.2,686,158,23,8.2,4.18,7.8,36.4,25.4,45.3
"Bivens, Spencer",702352,2025,81,343,61,17.8,7.3,4,7.2,37.3,17,49.1
"Quantrill, Cal",615698,2025,117.2,513,85,16.6,6.8,6.04,12.5,44.3,20.2,46.7
"Luzardo, Jesús",666200,2025,183.2,758,216,28.5,7.5,3.92,6.7,37.1,30.8,47.8
"Corbin, Patrick",571578,2022,152.2,713,128,18,6.9,6.31,11,45,20.9,47.4
"Hudson, Dakota",641712,2022,139.2,596,78,13.1,10.2,4.45,6,40.4,17.6,44
"Singer, Brady",663903,2022,153.1,621,150,24.2,5.6,3.23,8.3,40.9,23,44.3
"Ohtani, Shohei",660271,2023,132,531,167,31.5,10.4,3.14,10.1,35,30.8,46.7
"King, Michael",650633,2023,104.2,431,127,29.5,7.4,2.75,7.1,33.3,29.4,42.5
"Rasmussen, Drew",656876,2021,76,307,73,23.8,8.1,2.84,5.8,50.2,25.4,47.1
"Thornton, Trent",663423,2019,154.1,676,149,22,8.9,4.84,7.9,37,24.4,44.4
"Musgrove, Joe",605397,2019,170.1,718,157,21.9,5.4,4.44,7,38.7,24.6,51.9
"Hearn, Taylor",621368,2022,100,449,97,21.6,9.6,5.13,9.8,40.2,22.2,48.1
"Davies, Zach",605200,2023,82.1,377,72,19.1,10.3,7,8,42.4,22,40.3
"Holton, Tyler",663947,2023,85.1,324,74,22.8,5.6,2.11,6.9,32.5,26.8,49.3
"Junis, Jakob",596001,2019,175.1,771,164,21.3,7.5,5.24,9.1,41.2,22.6,45.3
"Miller, Bryce",682243,2024,180.1,704,171,24.3,6.4,2.94,9.8,41.2,24.4,48.9
"Nova, Iván",467100,2019,187,806,114,14.1,5.8,4.72,7.8,38.4,18.5,48.9
"Rasmussen, Drew",656876,2022,146,584,125,21.4,5.3,2.84,6.7,39.2,25.3,52.9
"Pérez, Martín",527048,2022,196.1,821,169,20.6,8.4,2.89,4.4,34.9,21,44.5
"Rodón, Carlos",607074,2021,132.2,534,185,34.6,6.7,2.37,6.6,36.2,33.2,50.5
"Ginn, J.T.",669372,2025,90.1,392,99,25.3,7.9,5.08,9.8,44.5,28.7,42.9
"Mize, Casey",663554,2024,102.1,452,78,17.3,6.4,4.49,7.9,44.6,22,49.5
"Boyd, Matthew",571510,2021,78.2,337,67,19.9,6.8,3.89,7.9,36.3,22.7,50.9
"Heaney, Andrew",571760,2023,147.1,641,151,23.6,9.4,4.15,10.3,38.6,26.5,48.2
"Schmidt, Clarke",657376,2024,85.1,353,93,26.3,8.5,2.85,6,38,29.4,44.2
"Gomber, Austin",596295,2024,165,696,116,16.7,5.5,4.75,9.6,41.2,19.9,48.3
"Kelly, Merrill",518876,2023,177.2,721,187,25.9,9.4,3.29,7.8,41.8,27,49.1
"Anderson, Tyler",542881,2023,141,629,119,18.9,10.2,5.43,8.2,32.3,27.8,49.7
"Anderson, Brett",474463,2019,176,743,90,12.1,6.6,3.89,7.8,40,17,47.5
"Cole, Gerrit",543037,2024,95,390,99,25.4,7.4,3.41,7.4,39.5,24.8,48.3
"Lauer, Eric",641778,2021,118.2,489,117,23.9,8.4,3.19,8.2,37.1,24.2,48.6
"Parker, Mitchell",680730,2024,151,646,133,20.6,6.7,4.29,8.2,38.9,22.3,51.4
"Houser, Adrian",605288,2021,142.1,599,105,17.5,10.7,3.22,5,36,19.2,44.4
"Ferrer, José A.",678606,2025,76.1,324,71,21.9,4.9,4.48,4.8,42.2,24.8,49.8
"Liberatore, Matthew",669461,2025,151.2,648,122,18.8,6.2,4.21,10.6,41.1,20.2,48.2
"Nelson, Ryne",669194,2025,154,619,132,21.3,6.6,3.39,7.5,45.5,21.6,50.4
"Rea, Colin",607067,2023,124.2,517,110,21.3,7.4,4.55,7.7,43.3,24,47.9
"Peralta, Freddy",642547,2023,165.2,680,210,30.9,7.9,3.86,8.6,37.7,33.6,47.8
"Kremer, Dean",665152,2025,171.2,708,142,20.1,6.4,4.19,8.7,35.8,22.9,49.4
"Maeda, Kenta",628317,2023,104.1,428,117,27.3,6.5,4.23,8.2,42.1,28.2,48.5
"Sale, Chris",519242,2024,177.2,702,225,32.1,5.6,2.38,5.6,31.2,31,49
"Falter, Bailey",663559,2023,80.2,347,60,17.3,5.8,5.36,9,39.3,18.3,50.6
"Morton, Charlie",450203,2023,163.1,716,183,25.6,11.6,3.64,7.8,39.1,32.2,42.9
"Skenes, Paul",694973,2024,133,514,170,33.1,6.2,1.96,5.2,36.3,28.7,49.8
"Matz, Steven",571927,2023,105,449,98,21.8,7.1,3.86,4.7,38,25.3,47.8
"Kelly, Merrill",518876,2025,184,748,167,22.3,6.4,3.52,9.3,43.5,24.1,49.3
"Crochet, Garrett",676979,2025,205.1,814,255,31.3,5.7,2.59,7.3,37.3,29.4,51.8
"Brown, Ben",676962,2025,106.1,472,121,25.6,6.8,5.92,11.4,47.3,28.3,47.9
"Newcomb, Sean",656794,2025,92.1,391,91,23.3,7.9,2.73,5.7,41.8,21.4,46.2
"Yamamoto, Jordan",657141,2019,78.2,325,82,25.2,11.1,4.46,7,38.8,23.1,45
"Cessa, Luis",570666,2019,81,343,75,21.9,9,4.11,5.5,37.6,29.3,47.2
"Odorizzi, Jake",543606,2022,106.1,453,86,19,7.7,4.4,7.3,33.1,22.2,50.1
"Abbott, Andrew",671096,2023,109.1,459,120,26.1,9.6,3.87,9.2,42.5,25.6,46.8
"Cease, Dylan",656302,2024,189.1,762,224,29.4,8.5,3.47,8.5,38.6,32.4,48.2
"Phillips, Tyler",663969,2025,77.2,313,52,16.6,7.7,2.78,5.1,43.4,27.3,47.9
"Rogers, Trevor",669432,2022,107,477,106,22.2,9.4,5.47,7.5,37.4,25.8,49
"Ryu, Hyun Jin",547943,2021,169,701,143,20.4,5.3,4.37,8.5,41.6,22.6,47.5
"Uceta, Edwin",670955,2025,76,321,103,32.1,8.4,3.79,9.3,36.6,35.6,53
"Plesac, Zach",668676,2019,115.2,475,88,18.5,8.4,3.81,8.9,38.7,21.6,47.6
"Cueto, Johnny",456501,2022,158.1,651,102,15.7,5.1,3.35,7.3,35.9,17.6,49.8
"Lugo, Seth",607625,2025,145.1,611,125,20.5,9,4.15,11.1,45.2,20.6,43.9
"Gallen, Zac",668678,2019,80,334,96,28.7,10.8,2.81,5.8,35.9,29.3,46.3
"Sánchez, Aníbal",434671,2019,166,712,134,18.8,8.1,3.85,7.3,28.3,22.4,48.4
"Cueto, Johnny",456501,2021,114.2,490,98,20,6.1,4.08,6.4,38,22.8,50.4
"Ashby, Aaron",676879,2022,107.1,475,126,26.5,9.9,4.44,6.8,34.1,29.6,44.2
"Gray, Sonny",543243,2021,135.1,575,155,27,8.7,4.19,4.7,32.1,26.2,43
"Fiers, Mike",571666,2019,184.2,754,126,16.7,7,3.9,8.1,38.3,18.2,47.3
"Junk, Janson",676083,2025,110,447,77,17.2,2.9,4.17,8.5,47.3,18.2,52.5
"Wood, Alex",622072,2023,97.2,429,74,17.2,9.8,4.33,5.6,37.4,21.7,45.8
"Davies, Zach",605200,2021,148,668,114,17.1,11.2,5.78,9.1,43.3,22.3,43.2
"Ryan, Joe",657746,2023,161.2,672,197,29.3,5.1,4.51,8.7,41.6,26.8,55.1
"Samardzija, Jeff",502188,2019,181.1,740,140,18.9,6.6,3.52,8.9,37.7,20.2,48.3
"Berríos, José",621244,2019,200.1,842,195,23.2,6.1,3.68,7.1,32,23.5,49.1
"Darvish, Yu",506433,2019,178.2,731,229,31.3,7.7,3.98,8,37.5,30.4,48.3
"Manoah, Alek",666201,2022,196.2,786,180,22.9,6.5,2.24,5.4,31.5,24.9,49.5
"Houck, Tanner",656557,2024,178.2,743,154,20.7,6.5,3.12,5.8,41.8,22.6,46.8
"Lester, Jon",452657,2019,171.2,764,165,21.6,6.8,4.46,8.2,34.7,21.1,45.7
"Ortiz, Luis",682847,2024,135.2,556,107,19.2,7.6,3.32,8.8,37.7,21,48.1
"Glasnow, Tyler",607192,2024,134,522,168,32.2,6.7,3.49,8.5,40.1,30.9,48.4
"Schmidt, Clarke",657376,2023,159,694,149,21.5,6.6,4.64,7.6,41,22.8,47.1
"Lyles, Jordan",543475,2022,179,774,144,18.6,6.7,4.42,10.4,38.8,21.9,46.3
"Kuhl, Chad",641771,2022,137,617,110,17.8,9.4,5.72,9.7,44.6,23.6,45.5
