last_name_first_name,player_id,year,player_age,ab,pa,hit,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,babip,b_gnd_into_dp,b_hit_ground,b_out_ground,xba,barrel_batted_rate,hard_hit_percent,pull_percent,opposite_percent,groundballs_percent,flyballs_percent,linedrives_percent,gb_babip,straightaway_percent,shift_allowed
"Pérez, Roberto",547379,2019,30,389,449,93,0.239,0.452,0.321,0.773,0.285,12,27,114,0.222,11.9,41.3,26.7,31.5,51.6,24.9,20.1,0.19148936170212766,41.8,Shift Allowed
"Abreu, José",547989,2019,32,634,693,180,0.284,0.503,0.33,0.833,0.32,24,62,165,0.279,13.7,48.2,39.4,25.8,46.1,21.1,26.8,0.27312775330396477,34.8,Shift Allowed
"Díaz, Elias",553869,2019,28,303,332,73,0.241,0.307,0.296,0.603,0.286,11,29,91,0.238,2.7,34.3,24.7,36.3,47.8,19.5,22.3,0.24166666666666667,39,Shift Allowed
"Narváez, Omar",553882,2019,27,428,482,119,0.278,0.46,0.353,0.813,0.306,5,28,87,0.259,5.8,28.1,36.6,27.7,33.9,28.3,30.4,0.24347826086956523,35.7,Shift Allowed
"Suárez, Eugenio",553993,2019,27,575,662,156,0.271,0.572,0.358,0.93,0.312,12,35,106,0.247,14.8,40.8,50.3,20.7,36,31.6,24,0.24822695035460993,29.000000000000004,Shift Allowed
"Santana, Domingo",570267,2019,26,451,507,114,0.253,0.441,0.329,0.77,0.347,11,27,98,0.25,12.9,42.1,34.9,26,43.3,24.2,30.4,0.216,39.099999999999994,Shift Allowed
"Urshela, Gio",570482,2019,27,442,476,139,0.314,0.534,0.355,0.889,0.349,13,39,110,0.286,7.5,41.6,37.6,24.2,41.5,23.1,29.8,0.26174496644295303,38.2,Shift Allowed
"Sánchez, Yolmer",570560,2019,27,496,555,125,0.252,0.321,0.318,0.639,0.324,7,60,115,0.23,1.2,27,29.8,32.9,45,21.1,25.7,0.34285714285714286,37.300000000000004,Shift Allowed
"Schoop, Jonathan",570731,2019,27,433,464,111,0.256,0.473,0.304,0.777,0.298,13,28,107,0.25,9.6,38.5,43.4,18.9,42.5,19.5,28.3,0.2074074074074074,37.7,Shift Allowed
"Adams, Matt",571431,2019,30,310,333,70,0.226,0.465,0.276,0.741,0.284,7,12,52,0.228,16,43.9,50.5,19.4,32.7,29.6,26.5,0.1875,30.1,Shift Allowed
"Arenado, Nolan",571448,2019,28,588,662,185,0.315,0.583,0.379,0.962,0.312,14,59,126,0.27,8.8,37.6,39.2,22.5,36.8,26.2,25.2,0.31891891891891894,38.3,Shift Allowed
"Barnhart, Tucker",571466,2019,28,316,364,73,0.231,0.38,0.328,0.708,0.278,5,16,94,0.219,3.5,27.9,40,25.5,46.8,21.7,25.1,0.14545454545454545,34.5,Shift Allowed
"Goodwin, Brian",571718,2019,28,413,458,108,0.262,0.47,0.326,0.796,0.337,3,20,75,0.231,6.9,33.3,36.5,22.9,33,29.2,29.9,0.21052631578947367,40.6,Shift Allowed
"Hamilton, Billy",571740,2019,28,316,353,69,0.218,0.275,0.289,0.564,0.299,1,25,73,0.222,0,7.3,37.2,27.4,41.9,19.2,25.6,0.25510204081632654,35.4,Shift Allowed
"Hernández, Enrique",571771,2019,27,414,460,98,0.237,0.411,0.304,0.715,0.266,9,32,86,0.239,6.2,34.5,41.1,24.9,36.8,27.7,23.7,0.2711864406779661,34,Shift Allowed
"Muncy, Max",571970,2019,28,487,589,122,0.251,0.515,0.374,0.889,0.283,5,25,107,0.261,12.7,43.4,42.1,22.8,38.6,29.8,27.2,0.1893939393939394,35.099999999999994,Shift Allowed
"Myers, Wil",571976,2019,28,435,490,104,0.239,0.418,0.321,0.739,0.344,12,38,82,0.23,12.2,41.4,38.3,21.9,44.6,20.8,26,0.31666666666666665,39.800000000000004,Shift Allowed
"Phegley, Josh",572033,2019,31,314,342,75,0.239,0.411,0.282,0.693,0.258,11,17,77,0.246,3.4,24.3,47.3,20.9,36.4,27.9,27.1,0.18085106382978725,31.800000000000004,Shift Allowed
"Piscotty, Stephen",572039,2019,28,357,393,89,0.249,0.412,0.309,0.721,0.289,13,31,92,0.248,8.1,41,30.7,24.5,44.4,25.6,26.7,0.25203252032520324,44.8,Shift Allowed
"Pollock, AJ",572041,2019,31,308,342,82,0.266,0.468,0.327,0.795,0.3,7,25,79,0.254,9,39.9,42,18.5,43.7,26.1,23.1,0.2403846153846154,39.5,Shift Allowed
"Seager, Kyle",572122,2019,31,393,443,94,0.239,0.468,0.321,0.789,0.248,12,17,87,0.258,9,39.7,35.6,23.9,33.7,32.7,26.5,0.16346153846153846,40.50000000000001,Shift Allowed
"Voit, Luke",572228,2019,28,429,510,113,0.263,0.464,0.378,0.842,0.345,12,27,90,0.249,14.5,42.4,43.1,19.8,40.6,27.1,29.2,0.23076923076923078,37.099999999999994,Shift Allowed
"Walker, Christian",572233,2019,28,529,603,137,0.259,0.476,0.348,0.824,0.312,11,42,117,0.262,14,48.8,36.3,23.7,42.4,27.5,22.9,0.2641509433962264,40,Shift Allowed
"Carpenter, Matt",572761,2019,33,416,492,94,0.226,0.392,0.334,0.726,0.285,3,26,75,0.216,7.7,31.1,44.7,24.6,34.5,34.8,25.3,0.25742574257425743,30.699999999999996,Shift Allowed
"Dozier, Brian",572821,2019,32,416,482,99,0.238,0.43,0.34,0.77,0.271,11,25,87,0.235,7.3,35.4,51,19.9,35.9,29.8,24,0.22321428571428573,29.1,Shift Allowed
"Yastrzemski, Mike",573262,2019,28,371,411,101,0.272,0.518,0.334,0.852,0.325,4,23,74,0.252,12.8,42.9,41.8,25.7,36.2,29.1,23.9,0.23711340206185566,32.5,Shift Allowed
"Contreras, Willson",575929,2019,27,360,409,98,0.272,0.533,0.355,0.888,0.314,4,32,98,0.247,12.8,41.5,35.4,27.3,50,24.6,20,0.24615384615384617,37.3,Shift Allowed
"Iglesias, Jose",578428,2019,29,504,530,145,0.288,0.407,0.318,0.725,0.315,17,59,174,0.264,2.5,24.2,33.6,24,53.3,16.9,24,0.2532188841201717,42.400000000000006,Shift Allowed
"Bryant, Kris",592178,2019,27,543,634,153,0.282,0.521,0.382,0.903,0.331,10,39,106,0.247,10.1,34.1,43.3,23.3,36.3,28.5,24,0.2689655172413793,33.400000000000006,Shift Allowed
"Canha, Mark",592192,2019,30,410,497,112,0.273,0.517,0.396,0.913,0.308,10,34,91,0.245,10.6,41.1,49.2,21,41,23.9,23,0.272,29.799999999999997,Shift Allowed
"Castellanos, Nick",592206,2019,27,615,664,178,0.289,0.525,0.337,0.862,0.337,12,46,139,0.278,11.4,41.5,37.9,26.9,38.9,28.8,27.6,0.24864864864864866,35.2,Shift Allowed
"DeShields, Delino",592261,2019,26,357,408,89,0.249,0.347,0.325,0.672,0.333,8,36,90,0.215,2.5,24.3,28.8,32.6,47.2,21,24.7,0.2857142857142857,38.6,Shift Allowed
"Drury, Brandon",592273,2019,26,418,447,91,0.218,0.38,0.262,0.642,0.259,6,19,112,0.246,10,36.7,39.6,20.5,42.5,20.1,25.6,0.1450381679389313,39.9,Shift Allowed
"Gamel, Ben",592325,2019,27,311,356,77,0.248,0.373,0.337,0.71,0.347,0,22,70,0.228,4.1,38,29.7,32.1,44,23.9,29.2,0.2391304347826087,38.199999999999996,Shift Allowed
"Goodrum, Niko",592348,2019,27,423,472,105,0.248,0.421,0.322,0.743,0.338,7,36,84,0.237,6.6,41.5,38.7,26.1,41.8,23.7,30,0.3,35.199999999999996,Shift Allowed
